Neighborhood,Release
East Liberty,50558.0
Morningside,50558.0
Homewood North,50558.0
Larimer,50558.0
Lincoln-Lemington-Belmar,50558.0
Highland Park,50558.0
Friendship,50558.0
Homewood West,50558.0
Bloomfield,50558.0
Point Breeze,50558.0
Stanton Heights,50558.0
Shadyside,50558.0
North Shore,0.0
Allegheny West,0.0
Manchester,0.0
Marshall-Shadeland,0.0
Central Northside,0.0
Allegheny Center,0.0
Brighton Heights,0.0
California-Kirkbride,0.0
Chateau,0.0
North Shore,5.0
Allegheny West,5.0
Manchester,5.0
Marshall-Shadeland,5.0
Central Northside,5.0
Allegheny Center,5.0
Brighton Heights,5.0
California-Kirkbride,5.0
Chateau,5.0
Lincoln Place,0.0
Hays,0.0
Lincoln Place,0.0
Hays,0.0
Brookline,5.0
Beltzhoover,5.0
Bon Air,5.0
Overbrook,5.0
Carrick,5.0
Mount Washington,5.0
Beechview,5.0
Brookline,250.0
Beltzhoover,250.0
Bon Air,250.0
Overbrook,250.0
Carrick,250.0
Mount Washington,250.0
Beechview,250.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,750.0
Allegheny West,750.0
Manchester,750.0
Marshall-Shadeland,750.0
Central Northside,750.0
Allegheny Center,750.0
Brighton Heights,750.0
California-Kirkbride,750.0
Chateau,750.0
North Shore,10219.0
Allegheny West,10219.0
Manchester,10219.0
Marshall-Shadeland,10219.0
Central Northside,10219.0
Allegheny Center,10219.0
Brighton Heights,10219.0
California-Kirkbride,10219.0
Chateau,10219.0
North Shore,250.0
Allegheny West,250.0
Manchester,250.0
Marshall-Shadeland,250.0
Central Northside,250.0
Allegheny Center,250.0
Brighton Heights,250.0
California-Kirkbride,250.0
Chateau,250.0
North Shore,750.0
Allegheny West,750.0
Manchester,750.0
Marshall-Shadeland,750.0
Central Northside,750.0
Allegheny Center,750.0
Brighton Heights,750.0
California-Kirkbride,750.0
Chateau,750.0
East Carnegie,0.0
East Carnegie,250.0
Squirrel Hill South,10.0
Swisshelm Park,10.0
Regent Square,10.0
Squirrel Hill South,0.0
Swisshelm Park,0.0
Regent Square,0.0
Squirrel Hill South,37.0
Swisshelm Park,37.0
Regent Square,37.0
Squirrel Hill South,0.0
Swisshelm Park,0.0
Regent Square,0.0
Garfield,0.0
East Liberty,0.0
Morningside,0.0
Lower Lawrenceville,0.0
Polish Hill,0.0
Bloomfield,0.0
Central Lawrenceville,0.0
Stanton Heights,0.0
Strip District,0.0
Upper Lawrenceville,0.0
Garfield,8368.0
East Liberty,8368.0
Morningside,8368.0
Lower Lawrenceville,8368.0
Polish Hill,8368.0
Bloomfield,8368.0
Central Lawrenceville,8368.0
Stanton Heights,8368.0
Strip District,8368.0
Upper Lawrenceville,8368.0
Garfield,65.0
East Liberty,65.0
Morningside,65.0
Lower Lawrenceville,65.0
Polish Hill,65.0
Bloomfield,65.0
Central Lawrenceville,65.0
Stanton Heights,65.0
Strip District,65.0
Upper Lawrenceville,65.0
Garfield,3549.0
East Liberty,3549.0
Morningside,3549.0
Lower Lawrenceville,3549.0
Polish Hill,3549.0
Bloomfield,3549.0
Central Lawrenceville,3549.0
Stanton Heights,3549.0
Strip District,3549.0
Upper Lawrenceville,3549.0
Garfield,0.0
East Liberty,0.0
Morningside,0.0
Lower Lawrenceville,0.0
Polish Hill,0.0
Bloomfield,0.0
Central Lawrenceville,0.0
Stanton Heights,0.0
Strip District,0.0
Upper Lawrenceville,0.0
Garfield,0.0
East Liberty,0.0
Morningside,0.0
Lower Lawrenceville,0.0
Polish Hill,0.0
Bloomfield,0.0
Central Lawrenceville,0.0
Stanton Heights,0.0
Strip District,0.0
Upper Lawrenceville,0.0
Lincoln-Lemington-Belmar,1101.0
Lincoln-Lemington-Belmar,250.0
Lincoln-Lemington-Belmar,0.0
Lincoln-Lemington-Belmar,0.0
Brookline,250.0
Beltzhoover,250.0
Bon Air,250.0
Overbrook,250.0
Carrick,250.0
Mount Washington,250.0
Beechview,250.0
Brookline,250.0
Beltzhoover,250.0
Bon Air,250.0
Overbrook,250.0
Carrick,250.0
Mount Washington,250.0
Beechview,250.0
Oakwood,1400.0
Westwood,1400.0
Fairywood,1400.0
East Carnegie,1400.0
Crafton Heights,1400.0
Windgap,1400.0
Oakwood,390.0
Westwood,390.0
Fairywood,390.0
East Carnegie,390.0
Crafton Heights,390.0
Windgap,390.0
Garfield,750.0
East Liberty,750.0
Morningside,750.0
Lower Lawrenceville,750.0
Polish Hill,750.0
Bloomfield,750.0
Central Lawrenceville,750.0
Stanton Heights,750.0
Strip District,750.0
Upper Lawrenceville,750.0
Garfield,0.0
East Liberty,0.0
Morningside,0.0
Lower Lawrenceville,0.0
Polish Hill,0.0
Bloomfield,0.0
Central Lawrenceville,0.0
Stanton Heights,0.0
Strip District,0.0
Upper Lawrenceville,0.0
Marshall-Shadeland,5.0
Brighton Heights,5.0
Marshall-Shadeland,0.0
Brighton Heights,0.0
Marshall-Shadeland,0.0
Brighton Heights,0.0
Marshall-Shadeland,0.0
Brighton Heights,0.0
Lincoln Place,280.0
Hays,280.0
Lincoln Place,0.0
Hays,0.0
Lincoln Place,13000.0
Hays,13000.0
Lincoln Place,15.0
Hays,15.0
Glen Hazel,26000.0
Lincoln Place,26000.0
Hays,26000.0
Greenfield,26000.0
New Homestead,26000.0
Hazelwood,26000.0
South Oakland,26000.0
Squirrel Hill South,26000.0
Glen Hazel,0.0
Lincoln Place,0.0
Hays,0.0
Greenfield,0.0
New Homestead,0.0
Hazelwood,0.0
South Oakland,0.0
Squirrel Hill South,0.0
Glen Hazel,4600.0
Lincoln Place,4600.0
Hays,4600.0
Greenfield,4600.0
New Homestead,4600.0
Hazelwood,4600.0
South Oakland,4600.0
Squirrel Hill South,4600.0
Glen Hazel,0.0
Lincoln Place,0.0
Hays,0.0
Greenfield,0.0
New Homestead,0.0
Hazelwood,0.0
South Oakland,0.0
Squirrel Hill South,0.0
Glen Hazel,10000.0
Lincoln Place,10000.0
Hays,10000.0
Greenfield,10000.0
New Homestead,10000.0
Hazelwood,10000.0
South Oakland,10000.0
Squirrel Hill South,10000.0
Glen Hazel,0.0
Lincoln Place,0.0
Hays,0.0
Greenfield,0.0
New Homestead,0.0
Hazelwood,0.0
South Oakland,0.0
Squirrel Hill South,0.0
Lincoln-Lemington-Belmar,1674.0
Lincoln-Lemington-Belmar,0.0
Fairywood,0.0
Esplen,0.0
Windgap,0.0
Fairywood,0.0
Esplen,0.0
Windgap,0.0
Marshall-Shadeland,5.0
Brighton Heights,5.0
Marshall-Shadeland,5.0
Brighton Heights,5.0
Lincoln-Lemington-Belmar,1156.0
Lincoln-Lemington-Belmar,510.0
Garfield,5.0
East Liberty,5.0
Morningside,5.0
Lower Lawrenceville,5.0
Polish Hill,5.0
Bloomfield,5.0
Central Lawrenceville,5.0
Stanton Heights,5.0
Strip District,5.0
Upper Lawrenceville,5.0
Garfield,5.0
East Liberty,5.0
Morningside,5.0
Lower Lawrenceville,5.0
Polish Hill,5.0
Bloomfield,5.0
Central Lawrenceville,5.0
Stanton Heights,5.0
Strip District,5.0
Upper Lawrenceville,5.0
Garfield,5.0
East Liberty,5.0
Morningside,5.0
Lower Lawrenceville,5.0
Polish Hill,5.0
Bloomfield,5.0
Central Lawrenceville,5.0
Stanton Heights,5.0
Strip District,5.0
Upper Lawrenceville,5.0
Garfield,5.0
East Liberty,5.0
Morningside,5.0
Lower Lawrenceville,5.0
Polish Hill,5.0
Bloomfield,5.0
Central Lawrenceville,5.0
Stanton Heights,5.0
Strip District,5.0
Upper Lawrenceville,5.0
Garfield,0.0
East Liberty,0.0
Morningside,0.0
Lower Lawrenceville,0.0
Polish Hill,0.0
Bloomfield,0.0
Central Lawrenceville,0.0
Stanton Heights,0.0
Strip District,0.0
Upper Lawrenceville,0.0
Garfield,0.0
East Liberty,0.0
Morningside,0.0
Lower Lawrenceville,0.0
Polish Hill,0.0
Bloomfield,0.0
Central Lawrenceville,0.0
Stanton Heights,0.0
Strip District,0.0
Upper Lawrenceville,0.0
East Carnegie,0.0
East Carnegie,250.0
Garfield,750.0
East Liberty,750.0
Morningside,750.0
Lower Lawrenceville,750.0
Polish Hill,750.0
Bloomfield,750.0
Central Lawrenceville,750.0
Stanton Heights,750.0
Strip District,750.0
Upper Lawrenceville,750.0
Garfield,0.0
East Liberty,0.0
Morningside,0.0
Lower Lawrenceville,0.0
Polish Hill,0.0
Bloomfield,0.0
Central Lawrenceville,0.0
Stanton Heights,0.0
Strip District,0.0
Upper Lawrenceville,0.0
Point Breeze North,0.0
Squirrel Hill North,0.0
Garfield,0.0
East Liberty,0.0
Morningside,0.0
Homewood North,0.0
Larimer,0.0
Lincoln-Lemington-Belmar,0.0
Highland Park,0.0
Friendship,0.0
Homewood West,0.0
Bloomfield,0.0
Point Breeze,0.0
Stanton Heights,0.0
Shadyside,0.0
Point Breeze North,49034.0
Squirrel Hill North,49034.0
Garfield,49034.0
East Liberty,49034.0
Morningside,49034.0
Homewood North,49034.0
Larimer,49034.0
Lincoln-Lemington-Belmar,49034.0
Highland Park,49034.0
Friendship,49034.0
Homewood West,49034.0
Bloomfield,49034.0
Point Breeze,49034.0
Stanton Heights,49034.0
Shadyside,49034.0
Glen Hazel,36000.0
Lincoln Place,36000.0
Hays,36000.0
Greenfield,36000.0
New Homestead,36000.0
Hazelwood,36000.0
South Oakland,36000.0
Squirrel Hill South,36000.0
Glen Hazel,0.0
Lincoln Place,0.0
Hays,0.0
Greenfield,0.0
